time,value,time,dayofweek,hour,Occupancy_State
2018-08-01 23:19:00,1,2018-08-01 23:19:00,2,23,1
2018-08-01 23:20:00,1,2018-08-01 23:20:00,2,23,1
2018-08-01 23:21:00,1,2018-08-01 23:21:00,2,23,1
2018-08-01 23:22:00,1,2018-08-01 23:22:00,2,23,1
2018-08-01 23:23:00,1,2018-08-01 23:23:00,2,23,1
2018-08-01 23:24:00,1,2018-08-01 23:24:00,2,23,1
2018-08-01 23:25:00,1,2018-08-01 23:25:00,2,23,1
2018-08-01 23:26:00,1,2018-08-01 23:26:00,2,23,1
2018-08-01 23:27:00,1,2018-08-01 23:27:00,2,23,1
2018-08-01 23:28:00,1,2018-08-01 23:28:00,2,23,1
2018-08-01 23:29:00,1,2018-08-01 23:29:00,2,23,1
2018-08-01 23:30:00,1,2018-08-01 23:30:00,2,23,1
2018-08-01 23:31:00,1,2018-08-01 23:31:00,2,23,1
2018-08-01 23:32:00,1,2018-08-01 23:32:00,2,23,1
2018-08-01 23:33:00,1,2018-08-01 23:33:00,2,23,1
2018-08-01 23:34:00,1,2018-08-01 23:34:00,2,23,1
2018-08-01 23:35:00,1,2018-08-01 23:35:00,2,23,1
2018-08-01 23:36:00,1,2018-08-01 23:36:00,2,23,1
2018-08-01 23:37:00,1,2018-08-01 23:37:00,2,23,1
2018-08-01 23:38:00,1,2018-08-01 23:38:00,2,23,1
2018-08-01 23:39:00,1,2018-08-01 23:39:00,2,23,1
2018-08-01 23:41:00,1,2018-08-01 23:41:00,2,23,1
2018-08-01 23:42:00,1,2018-08-01 23:42:00,2,23,1
2018-08-01 23:43:00,1,2018-08-01 23:43:00,2,23,1
2018-08-01 23:44:00,1,2018-08-01 23:44:00,2,23,1
2018-08-01 23:45:00,1,2018-08-01 23:45:00,2,23,1
2018-08-01 23:46:00,1,2018-08-01 23:46:00,2,23,1
2018-08-01 23:47:00,1,2018-08-01 23:47:00,2,23,1
2018-08-01 23:48:00,1,2018-08-01 23:48:00,2,23,1
2018-08-01 23:49:00,1,2018-08-01 23:49:00,2,23,1
2018-08-01 23:50:00,1,2018-08-01 23:50:00,2,23,1
2018-08-01 23:51:00,1,2018-08-01 23:51:00,2,23,1
2018-08-01 23:52:00,1,2018-08-01 23:52:00,2,23,1
2018-08-02 00:00:00,1,2018-08-02 00:00:00,3,0,1
2018-08-02 00:01:00,1,2018-08-02 00:01:00,3,0,1
2018-08-02 00:02:00,1,2018-08-02 00:02:00,3,0,1
2018-08-02 00:03:00,1,2018-08-02 00:03:00,3,0,1
2018-08-02 00:04:00,1,2018-08-02 00:04:00,3,0,1
2018-08-02 00:05:00,1,2018-08-02 00:05:00,3,0,1
2018-08-02 00:06:00,1,2018-08-02 00:06:00,3,0,1
2018-08-02 00:07:00,1,2018-08-02 00:07:00,3,0,1
2018-08-02 00:08:00,1,2018-08-02 00:08:00,3,0,1
2018-08-02 00:09:00,1,2018-08-02 00:09:00,3,0,1
2018-08-02 00:10:00,1,2018-08-02 00:10:00,3,0,1
2018-08-02 00:11:00,1,2018-08-02 00:11:00,3,0,1
2018-08-02 00:12:00,1,2018-08-02 00:12:00,3,0,1
2018-08-02 00:13:00,1,2018-08-02 00:13:00,3,0,1
2018-08-02 00:14:00,1,2018-08-02 00:14:00,3,0,1
2018-08-02 00:15:00,1,2018-08-02 00:15:00,3,0,1
2018-08-02 00:16:00,1,2018-08-02 00:16:00,3,0,1
2018-08-02 00:17:00,1,2018-08-02 00:17:00,3,0,1
2018-08-02 00:18:00,1,2018-08-02 00:18:00,3,0,1
2018-08-02 00:19:00,1,2018-08-02 00:19:00,3,0,1
2018-08-02 00:20:00,1,2018-08-02 00:20:00,3,0,1
2018-08-02 15:44:00,1,2018-08-02 15:44:00,3,15,1
2018-08-02 15:45:00,1,2018-08-02 15:45:00,3,15,1
2018-08-02 15:46:00,1,2018-08-02 15:46:00,3,15,1
2018-08-02 15:47:00,1,2018-08-02 15:47:00,3,15,1
2018-08-02 15:48:00,1,2018-08-02 15:48:00,3,15,1
2018-08-02 15:49:00,1,2018-08-02 15:49:00,3,15,1
2018-08-02 15:50:00,1,2018-08-02 15:50:00,3,15,1
2018-08-02 15:51:00,1,2018-08-02 15:51:00,3,15,1
2018-08-02 15:57:00,1,2018-08-02 15:57:00,3,15,1
2018-08-02 16:07:00,1,2018-08-02 16:07:00,3,16,1
2018-08-02 16:08:00,1,2018-08-02 16:08:00,3,16,1
2018-08-02 17:04:00,1,2018-08-02 17:04:00,3,17,1
2018-08-02 17:06:00,1,2018-08-02 17:06:00,3,17,1
2018-08-02 17:07:00,1,2018-08-02 17:07:00,3,17,1
2018-08-02 17:16:00,1,2018-08-02 17:16:00,3,17,1
2018-08-02 17:17:00,1,2018-08-02 17:17:00,3,17,1
2018-08-02 17:18:00,1,2018-08-02 17:18:00,3,17,1
2018-08-02 17:19:00,1,2018-08-02 17:19:00,3,17,1
2018-08-02 17:20:00,1,2018-08-02 17:20:00,3,17,1
2018-08-02 17:21:00,1,2018-08-02 17:21:00,3,17,1
2018-08-02 17:22:00,1,2018-08-02 17:22:00,3,17,1
2018-08-02 17:24:00,1,2018-08-02 17:24:00,3,17,1
2018-08-02 17:26:00,1,2018-08-02 17:26:00,3,17,1
2018-08-02 17:27:00,1,2018-08-02 17:27:00,3,17,1
2018-08-02 17:28:00,1,2018-08-02 17:28:00,3,17,1
2018-08-02 17:29:00,1,2018-08-02 17:29:00,3,17,1
2018-08-02 17:30:00,1,2018-08-02 17:30:00,3,17,1
2018-08-02 17:32:00,1,2018-08-02 17:32:00,3,17,1
2018-08-02 17:33:00,1,2018-08-02 17:33:00,3,17,1
2018-08-02 17:36:00,1,2018-08-02 17:36:00,3,17,1
2018-08-02 17:37:00,1,2018-08-02 17:37:00,3,17,1
2018-08-02 17:38:00,1,2018-08-02 17:38:00,3,17,1
2018-08-02 17:39:00,1,2018-08-02 17:39:00,3,17,1
2018-08-02 17:40:00,1,2018-08-02 17:40:00,3,17,1
2018-08-02 17:41:00,1,2018-08-02 17:41:00,3,17,1
2018-08-02 17:44:00,1,2018-08-02 17:44:00,3,17,1
2018-08-02 17:46:00,1,2018-08-02 17:46:00,3,17,1
2018-08-02 17:47:00,1,2018-08-02 17:47:00,3,17,1
2018-08-02 17:48:00,1,2018-08-02 17:48:00,3,17,1
2018-08-02 17:49:00,1,2018-08-02 17:49:00,3,17,1
2018-08-02 17:50:00,1,2018-08-02 17:50:00,3,17,1
2018-08-02 17:51:00,1,2018-08-02 17:51:00,3,17,1
2018-08-02 17:52:00,1,2018-08-02 17:52:00,3,17,1
2018-08-02 17:53:00,1,2018-08-02 17:53:00,3,17,1
2018-08-02 17:54:00,1,2018-08-02 17:54:00,3,17,1
2018-08-02 17:55:00,1,2018-08-02 17:55:00,3,17,1
2018-08-02 17:56:00,1,2018-08-02 17:56:00,3,17,1
2018-08-02 17:57:00,1,2018-08-02 17:57:00,3,17,1
